Name,Device Type,Device MAC,Associated To Mac,Associated To Hostname,IPv4 Address,IPv6 Address,User Name,Wlan,Channel,RF-Domain,Vlan,OS,Authentication,Encryption,BSSID
00-03-7F-12-12-12,Atheros Comm,00-03-7F-12-12-12,84-24-8D-1B-2F-E0,AP1400-1B2FE0,150.130.9.3,fe80::2216:ad0e:5615:3eab,,M-Guest,108,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-58-01
00-03-7F-12-13-13,Atheros Comm,00-03-7F-12-13-13,84-24-8D-1B-2F-E0,AP1400-1B2FE0,150.130.0.126,fe80::64a:c65c:f9d8:2d02,,M-Guest,108,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-58-01
00-03-7F-12-29-29,Atheros Comm,00-03-7F-12-29-29,84-24-8D-1B-2D-6C,AP1403-1B2D6C,150.130.0.224,fe80::a16:2813:6134:a81e,,M-Guest,124,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-5B-C1
(null),Atheros Comm,00-03-7F-12-34-56,84-24-8D-1A-FE-40,AP1390-1AFE40,0.0.0.0,N/A,,M-Guest,108,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-39-F1
00-03-7F-12-52-52,Atheros Comm,00-03-7F-12-52-52,84-24-8D-1B-2E-D8,AP1399-1B2ED8,150.130.11.194,fe80::a120:f769:12a1:c808,,M-Guest,60,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-59-B1
00-03-7F-12-80-80,Atheros Comm,00-03-7F-12-80-80,84-24-8D-1B-2F-E0,AP1400-1B2FE0,150.130.4.132,fe80::b9b4:55f7:79d8:c1a9,,M-Guest,108,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-58-01
00-03-7F-12-82-82,Atheros Comm,00-03-7F-12-82-82,84-24-8D-1B-2D-6C,AP1403-1B2D6C,150.130.4.215,N/A,,M-Guest,124,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-5B-C1
00-03-7F-12-88-88,Atheros Comm,00-03-7F-12-88-88,84-24-8D-1B-2F-E0,AP1400-1B2FE0,150.130.12.7,fe80::19f:ede0:3c:c7b7,,M-Guest,108,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-58-01
00-03-7F-12-A6-A6,Atheros Comm,00-03-7F-12-A6-A6,84-24-8D-1B-2D-6C,AP1403-1B2D6C,150.130.8.10,fe80::b234:ddb6:8fa7:7fac,,M-Guest,124,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-5B-C1
00-03-7F-12-BD-BD,Atheros Comm,00-03-7F-12-BD-BD,84-24-8D-1B-2D-6C,AP1403-1B2D6C,150.130.5.141,N/A,,M-Guest,124,AMERFL08,164,Unknown,psk,ccmp,84-24-8D-3F-5B-C1
LAPTOP-MO1R7B7M,00-05-16,00-05-16-58-C5-11,84-24-8D-1B-7A-F0,AP4359-1B7AF0,150.130.124.86,fe80::d066:3007:6d27:8702,,M-Guest,157,AMERZBR32,164,Unknown,psk,ccmp,84-24-8D-40-13-61
(null),00-08-22,00-08-22-EE-69-FD,84-24-8D-1B-7F-B8,AP4447-1B7FB8,0.0.0.0,N/A,,M-Guest,1,ASIAZCH102,164,Unknown,psk,ccmp,84-24-8D-3F-F3-11
android-b777a358...,00-0A-05,00-0A-05-B8-EA-0B,84-24-8D-1A-2E-64,AP3193-1A2E64,150.130.99.234,N/A,,M-Guest,11,EMEAZWG39,164,Unknown,psk,ccmp,84-24-8D-37-CC-51
(null),00-0A-F5,00-0A-F5-04-00-60,84-24-8D-1B-88-10,AP3018-1B8810,0.0.0.0,N/A,,M-Guest,6,EMEAZPL13,164,Unknown,psk,ccmp,84-24-8D-3F-F8-D1
